gameId;strategy;wins;losses
163;CallingRulesWithUctMonteCarloStrategy;1533;1315
164;CallingRulesWithRandomPlay;1326;1554
164;CallingRulesWithUctMonteCarloStrategy;1554;1326
165;CallingRulesWithRandomPlay;1326;1554
165;CallingRulesWithUctMonteCarloStrategy;1554;1326
166;CallingRulesWithRandomPlay;1344;1568
166;CallingRulesWithUctMonteCarloStrategy;1568;1344
167;CallingRulesWithRandomPlay;1358;1586
167;CallingRulesWithUctMonteCarloStrategy;1586;1358
168;CallingRulesWithRandomPlay;1374;1602
168;CallingRulesWithUctMonteCarloStrategy;1602;1374
169;CallingRulesWithRandomPlay;1374;1602
169;CallingRulesWithUctMonteCarloStrategy;1602;1374
170;CallingRulesWithRandomPlay;1374;1602
170;CallingRulesWithUctMonteCarloStrategy;1602;1374
171;CallingRulesWithRandomPlay;1386;1622
171;CallingRulesWithUctMonteCarloStrategy;1622;1386
172;CallingRulesWithRandomPlay;1402;1638
172;CallingRulesWithUctMonteCarloStrategy;1638;1402
173;CallingRulesWithRandomPlay;1402;1638
173;CallingRulesWithUctMonteCarloStrategy;1638;1402
174;CallingRulesWithRandomPlay;1402;1638
174;CallingRulesWithUctMonteCarloStrategy;1638;1402
175;CallingRulesWithRandomPlay;1416;1656
175;CallingRulesWithUctMonteCarloStrategy;1656;1416
176;CallingRulesWithRandomPlay;1432;1672
176;CallingRulesWithUctMonteCarloStrategy;1672;1432
177;CallingRulesWithRandomPlay;1447;1689
177;CallingRulesWithUctMonteCarloStrategy;1689;1447
178;CallingRulesWithRandomPlay;1447;1689
178;CallingRulesWithUctMonteCarloStrategy;1689;1447
179;CallingRulesWithRandomPlay;1463;1705
179;CallingRulesWithUctMonteCarloStrategy;1705;1463
180;CallingRulesWithRandomPlay;1463;1705
180;CallingRulesWithUctMonteCarloStrategy;1705;1463
181;CallingRulesWithRandomPlay;1479;1721
181;CallingRulesWithUctMonteCarloStrategy;1721;1479
182;CallingRulesWithRandomPlay;1493;1739
182;CallingRulesWithUctMonteCarloStrategy;1739;1493
183;CallingRulesWithRandomPlay;1493;1739
183;CallingRulesWithUctMonteCarloStrategy;1739;1493
184;CallingRulesWithRandomPlay;1509;1755
184;CallingRulesWithUctMonteCarloStrategy;1755;1509
185;CallingRulesWithRandomPlay;1523;1773
185;CallingRulesWithUctMonteCarloStrategy;1773;1523
186;CallingRulesWithRandomPlay;1538;1790
186;CallingRulesWithUctMonteCarloStrategy;1790;1538
187;CallingRulesWithRandomPlay;1552;1808
187;CallingRulesWithUctMonteCarloStrategy;1808;1552
188;CallingRulesWithRandomPlay;1568;1824
188;CallingRulesWithUctMonteCarloStrategy;1824;1568
189;CallingRulesWithRandomPlay;1580;1844
189;CallingRulesWithUctMonteCarloStrategy;1844;1580
190;CallingRulesWithRandomPlay;1580;1844
190;CallingRulesWithUctMonteCarloStrategy;1844;1580
191;CallingRulesWithRandomPlay;1596;1860
191;CallingRulesWithUctMonteCarloStrategy;1860;1596
192;CallingRulesWithRandomPlay;1596;1860
192;CallingRulesWithUctMonteCarloStrategy;1860;1596
193;CallingRulesWithRandomPlay;1596;1860
193;CallingRulesWithUctMonteCarloStrategy;1860;1596
194;CallingRulesWithRandomPlay;1596;1860
194;CallingRulesWithUctMonteCarloStrategy;1860;1596
195;CallingRulesWithRandomPlay;1596;1860
195;CallingRulesWithUctMonteCarloStrategy;1860;1596
196;CallingRulesWithRandomPlay;1609;1879
196;CallingRulesWithUctMonteCarloStrategy;1879;1609
197;CallingRulesWithRandomPlay;1609;1879
197;CallingRulesWithUctMonteCarloStrategy;1879;1609
198;CallingRulesWithRandomPlay;1625;1895
198;CallingRulesWithUctMonteCarloStrategy;1895;1625
199;CallingRulesWithRandomPlay;1625;1895
199;CallingRulesWithUctMonteCarloStrategy;1895;1625
200;CallingRulesWithRandomPlay;1625;1895
200;CallingRulesWithUctMonteCarloStrategy;1895;1625
201;CallingRulesWithRandomPlay;1641;1911
201;CallingRulesWithUctMonteCarloStrategy;1911;1641
202;CallingRulesWithRandomPlay;1655;1929
202;CallingRulesWithUctMonteCarloStrategy;1929;1655
203;CallingRulesWithRandomPlay;1667;1949
203;CallingRulesWithUctMonteCarloStrategy;1949;1667
204;CallingRulesWithRandomPlay;1667;1949
204;CallingRulesWithUctMonteCarloStrategy;1949;1667
205;CallingRulesWithRandomPlay;1667;1949
205;CallingRulesWithUctMonteCarloStrategy;1949;1667
206;CallingRulesWithRandomPlay;1683;1965
206;CallingRulesWithUctMonteCarloStrategy;1965;1683
207;CallingRulesWithRandomPlay;1695;1985
207;CallingRulesWithUctMonteCarloStrategy;1985;1695
208;CallingRulesWithRandomPlay;1711;2001
208;CallingRulesWithUctMonteCarloStrategy;2001;1711
209;CallingRulesWithRandomPlay;1722;2022
209;CallingRulesWithUctMonteCarloStrategy;2022;1722
210;CallingRulesWithRandomPlay;1737;2039
210;CallingRulesWithUctMonteCarloStrategy;2039;1737
211;CallingRulesWithRandomPlay;1737;2039
211;CallingRulesWithUctMonteCarloStrategy;2039;1737
212;CallingRulesWithRandomPlay;1737;2039
212;CallingRulesWithUctMonteCarloStrategy;2039;1737
213;CallingRulesWithRandomPlay;1753;2055
213;CallingRulesWithUctMonteCarloStrategy;2055;1753
214;CallingRulesWithRandomPlay;1753;2055
214;CallingRulesWithUctMonteCarloStrategy;2055;1753
215;CallingRulesWithRandomPlay;1767;2073
215;CallingRulesWithUctMonteCarloStrategy;2073;1767
216;CallingRulesWithRandomPlay;1767;2073
